SSL2(YIL143C)	-2.23152	-0.601025	0.103419	-0.200327	1.24899	-0.433963	0.965856	0.551153	0.997023
SIF2(YBR103W)	-1.39222	2.20889	-1.57512	-1.11116	-4.37838	0.644775	-1.37056	2.06673	1.52735
RAP1(YNL216W)	-0.484594	-4.21998	0.696771	-0.369739	-0.008221	0.971579	-0.978372	1.48407	3.13514
NCB2(YDR397C)	-0.098424	1.36376	-1.09594	-1.24326	-2.1062	2.45104	-1.33943	-2.61564	1.67865
MCM5(YLR274W)	0.175811	-0.014229	-0.009394	-0.071117	-0.131441	-0.29673	-0.09031	-0.233626	0.060854
MET32(YDR253C)	0.121832	0.090022	0.196488	0.204201	0.369518	-0.443317	-0.131854	3.47578	0.280492
PBP1(YGR178C)	-0.17939	-0.409784	0.014537	-0.573476	-0.830331	0.347452	-0.318811	-0.601291	0.22456
POB3(YML069W)	-0.223134	-0.172175	0.619267	0.258224	-0.278395	1.69276	-2.25745	0.020671	0.761351
MLH1(YMR167W)	0.005881	-0.237566	-1.35245	-0.946837	0.673015	0.035717	0.396837	-0.393834	0.330392
PHO23(YNL097C)	-0.166066	0.229564	-0.026351	-0.014068	-0.753891	-0.584862	0.215578	-0.67219	0.169634
PET111(YMR257C)	-0.090549	0.690465	0.535064	0.722659	-0.06377	1.02253	1.10631	-0.475876	0.395856
MGA1(YGR249W)	0.199722	-0.405933	-2.63135	-2.14922	0.056764	0.234994	-1.45113	1.01178	0.397087
SPT15(YER148W)	-1.51074	1.1859	2.15023	1.9183	-3.83995	2.2334	0.721895	1.28191	1.47804
RPI1(YIL119C)	-0.568541	0.796901	1.00051	1.11683	1.20788	0.587326	0.587053	2.67099	2.79625
PIB2(YGL023C)	-0.043736	-0.097166	-0.401608	-0.309603	-0.453251	-0.139636	0.093238	-0.783143	0.27719
MOT2(YER068W)	0.155455	-1.46189	-0.519937	-1.03122	-1.5848	-1.3516	-0.428882	1.53614	0.806917
RNA14(YMR061W)	-0.502668	-0.108117	0.265871	0.310836	0.05841	0.260802	0.208639	-0.078698	0.66393
RPB4(YJL140W)	-0.50183	-0.233468	-0.018626	-0.366767	-0.371222	0.581582	0.127446	0.044373	0.803034
TAF1(YGR274C)	-2.56383	-0.089354	-0.151768	-0.330766	-2.95867	1.94573	-4.22066	-2.09689	0.962846
PAD1(YDR538W)	0.050602	-0.051099	0.064176	0.042354	0.011242	0.134972	0.220494	0.023154	0.032932
MSI1(YBR195C)	0.220945	0.159043	-0.040343	-0.0511	0.648592	0.278788	0.694316	-0.917288	0.61776
RTG2(YGL252C)	-0.807657	-0.506094	0.446219	0.562743	-1.87536	1.47293	-0.856963	-0.838071	1.05603
RPB3(YIL021W)	-0.416882	1.66887	2.4182	2.20379	0.457072	2.02762	-0.486602	2.2914	3.05475
SNF1(YDR477W)	-1.13504	-0.642517	0.799724	0.820597	0.32662	2.07547	-1.43847	0.408297	1.51251
RIF2(YLR453C)	-0.354286	0.006029	0.014352	-0.004029	-0.013706	-0.891338	-0.229363	-0.100245	0.110305
RFX1(YLR176C)	-0.296157	-9.6607	-17.6011	-16.0177	-14.3142	-19.2971	-31.0341	-7.32792	4.99847
SNF6(YHL025W)	-1.03933	-6.01897	-4.93436	-6.37534	-12.5592	-7.82648	-4.18935	-3.16597	1.16084
SET1(YHR119W)	-0.78672	-0.568048	-0.265053	-0.333492	-4.91082	-0.453909	-0.277241	0.036442	0.338002
RPO21(YDL140C)	-0.263728	-0.244794	2.0301	2.34762	1.16562	1.61824	0.375433	-2.13434	1.56679
RFA2(YNL312W)	-0.169806	-0.090261	0.020648	0.044892	0.107853	-0.094054	-0.006491	0.325583	0.136829
RPB2(YOR151C)	-0.224673	0.780055	0.68682	0.641047	1.21683	0.538277	0.581525	0.188254	0.883444
PRI1(YIR008C)	0.079229	-0.021996	-0.255097	-0.108235	0.220463	0.662559	0.474188	-3.42223	0.31787
NDD1(YOR372C)	0.384552	-0.14045	0.064655	0.018949	-0.367007	-0.144256	-1.09595	0.071583	0.257499
PGD1(YGL025C)	0.28253	-0.061099	0.056012	0.171482	-0.237358	-0.304161	0.338149	-0.229506	0.452354
RTT103(YDR289C)	-0.527207	0.093231	0.660301	0.86967	1.8716	-0.993436	1.38081	-0.000519	1.11471
SUT1(YGL162W)	-1.72954	0.822459	0.64392	0.631759	-5.7067	-1.06025	0.765521	1.15623	1.24395
TAF5(YBR198C)	-1.99824	-0.538201	0.154582	0.231624	-1.6171	0.734328	-0.116509	-0.430942	1.76846
TAF9(YMR236W)	-1.85869	0.309351	0.227927	-0.38667	0.396548	0.349909	0.22326	-0.030326	0.685182
SAS5(YOR213C)	-0.41047	-0.747247	-1.07619	-0.85831	-0.258639	-0.062193	-0.834631	-0.041223	0.415057
RIM101(YHL027W)	0.032854	-0.329531	0.057984	-0.081481	0.449579	-1.12461	-1.07849	0.30437	0.445656
RGM1(YMR182C)	0.051618	0.365543	-0.029043	0.084393	0.748285	-0.00332	0.283328	0.204793	0.335046
RTG3(YBL103C)	-0.340973	0.131325	0.413397	0.460687	-3.4583	0.643305	0.211797	0.631194	0.572195
SIN3(YOL004W)	-0.446256	-0.016193	-0.13735	-1.11012	0.360385	0.738207	-4.00424	-1.52345	0.545213
SHE2(YKL130C)	-0.418124	-0.282536	-0.18172	-0.198185	-0.0919	0.106195	0.058791	0.177412	0.454775
SPT4(YGR063C)	-0.692796	3.83218	2.60719	1.97077	-25.7235	3.14854	0.454963	3.48301	6.40385
SLD2(YKL108W)	-0.489204	-0.067441	-0.194214	-0.198414	-1.52452	0.104271	0.22695	-0.303134	0.345288
RGT1(YKL038W)	0.135316	0.720855	0.866505	0.50465	-0.749215	0.62259	1.10839	-0.550708	0.9558
PUF3(YLL013C)	0.369615	0.104694	-0.071425	0.123672	-0.828239	0.454116	-0.484409	0.064059	1.15692
TAF4(YMR005W)	-1.58262	-2.64048	-0.766216	-0.759002	0.814543	0.701687	-0.240465	-1.51834	1.44349
SWC5(YBR231C)	-1.23232	0.243533	-1.54777	-3.55106	1.06789	-6.13811	-0.242317	-1.39444	1.18205
SPT3(YDR392W)	-0.54355	-1.24777	-2.00609	-1.46911	-0.273596	-0.743261	-0.658952	-1.52567	1.21152
SWI5(YDR146C)	-1.2694	-1.58244	0.233384	0.558904	-0.193859	0.664653	0.926012	0.867044	1.27089
RSC8(YFR037C)	-0.111969	-0.395364	0.307776	1.15718	-3.46246	2.10891	-1.35454	1.64668	2.34891
STB4(YMR019W)	-0.664184	-0.687206	-7.91476	-6.71777	0.612464	-1.65721	0.011162	-1.60251	0.64975
SNF5(YBR289W)	-0.353858	-1.09842	0.375714	0.938296	2.46116	-4.79555	-0.473672	-0.738457	2.09636
RNA15(YGL044C)	0.263851	0.36045	0.745376	0.640923	-0.449312	-0.107454	-0.681419	0.163092	0.355202
RAD18(YCR066W)	0.521113	0.368128	1.08246	0.95873	-1.62593	-2.69578	0.375216	1.77515	1.58419
RSC4(YKR008W)	-0.027564	0.283688	-1.60194	-1.51172	-0.41316	-1.43221	-0.613475	1.03462	1.06121
SPS18(YNL204C)	-0.239121	0.211799	0.048519	0.08652	-0.258583	0.461448	0.041385	0.688856	0.150032
SRB8(YCR081W)	-0.311699	-0.498499	0.184303	0.325634	0.565905	0.029179	0.006914	0.025835	0.176617
SRB4(YER022W)	-0.290939	0.310588	-1.65542	-1.02655	0.480314	0.377552	-1.49989	0.542534	0.916309
RTG1(YOL067C)	0.093171	0.020275	-0.41735	-0.246759	-0.2741	-2.15691	0.068356	-0.676615	0.347824
SIR1(YKR101W)	-0.017296	0.071897	-0.081943	-0.038811	0.441318	0.440826	0.285631	-0.968449	0.174954
VPS72(YDR485C)	-2.69543	0.725232	-0.830046	-0.726644	-11.356	-1.85384	-0.347827	-0.092671	0.57429
TFG1(YGR186W)	-1.32469	2.02118	1.76792	2.06122	-0.96436	0.651035	0.286439	-0.161396	2.13012
ABF2(YMR072W)	2.0576	1.18188	0.997885	0.871071	3.5816	0.713712	0.462428	0.604457	0.75469
FKH1(YIL131C)	1.89423	-7.64186	-1.36286	-1.21191	-4.46895	-4.43388	0.785096	-0.802801	1.30293
BRE2(YLR015W)	2.05026	3.27979	1.28716	1.3644	1.23125	-0.776922	2.37389	0.813878	2.13221
RAD1(YPL022W)	0.859757	-0.837061	0.049489	-0.378241	-0.223869	-3.15564	-2.34226	-0.145706	0.27866
NDT80(YHR124W)	1.21206	0.830829	3.91976	4.06942	1.025	1.62698	-13.1179	1.28035	5.02923
RLM1(YPL089C)	0.698229	0.216562	-0.067708	-0.705642	-0.218349	-3.26782	-2.25844	-0.489179	0.954284
MSN2(YMR037C)	1.29247	0.988696	-0.067799	-0.068481	-1.57959	1.53018	-0.355675	2.04384	0.940967
GAT1(YFL021W)	2.12187	0.691376	0.982757	1.12998	-0.617447	-1.85749	0.506035	1.84424	0.982017
PUB1(YNL016W)	0.995822	2.1587	1.32667	1.77477	2.13263	2.10428	1.1727	1.37264	1.96352
PHR1(YOR386W)	1.23772	0.460621	3.20962	2.33993	-0.279907	0.761368	3.28712	1.34056	0.805581
HHT1(YBR010W)	2.03292	1.63233	1.59008	1.72428	2.06086	2.01873	2.01596	3.29707	1.221
HHO1(YPL127C)	2.05539	-1.00307	0.342832	0.429241	0.302536	-2.90164	-1.30321	0.289004	0.796734
GCY1(YOR120W)	2.24573	2.96355	3.2273	3.76372	-12.7175	8.19325	3.28457	-3.72234	5.55139
NAM8(YHR086W)	1.40141	3.08628	1.57958	0.909703	-2.46084	4.85709	0.839538	1.64065	3.44292
BUR2(YLR226W)	2.42592	-3.06298	1.80541	1.51663	-0.303219	0.097199	-0.638503	1.14122	1.69407
HAT2(YEL056W)	2.31691	-1.10018	2.81136	1.56745	-3.67355	3.51163	0.369058	4.42484	2.40639
HAP1(YLR256W)	2.36383	2.13792	8.55758	8.21722	5.02711	-2.12823	4.67646	-0.702605	8.70416
MET18(YIL128W)	1.94167	0.247724	1.17135	0.906005	0.938075	0.928526	0.991571	-1.51566	0.962009
ITC1(YGL133W)	2.21516	-0.109954	-35.1748	-28.614	-2.18165	0.792117	0.963141	0.682725	2.71577
HOG1(YLR113W)	2.55208	2.07442	1.44524	1.50583	-1.58171	1.47168	0.863141	1.23609	1.34309
DOT5(YIL010W)	3.23435	-0.769618	0.33541	0.121106	0.539565	-0.02386	0.951455	1.5439	0.522053
BAS1(YKR099W)	3.81881	1.31686	2.36782	2.35308	0.433988	1.47823	-0.442254	1.06608	1.45925
PCS60(YBR222C)	0.284207	0.842267	0.361297	0.498982	0.218765	0.052171	0.627264	-0.22969	0.974625
STB6(YKL072W)	0.501215	-0.054663	0.559721	1.00702	0.649822	0.764961	0.654238	0.45662	0.941387
REB1(YBR049C)	1.39859	-0.191684	0.448651	0.570855	2.25999	-2.30498	-0.000983	-0.172938	1.90353
RPB7(YDR404C)	1.25323	2.68435	2.87955	3.10717	2.6312	3.5034	3.09259	2.87455	2.58591
SIR2(YDL042C)	0.799062	1.8273	-3.28566	-2.97188	1.75694	-3.82464	-0.390078	4.63648	1.60094
RSC3(YDR303C)	0.943546	-1.71767	-0.195742	1.69857	3.24671	-0.430656	2.382	0.476216	3.78019
RSC2(YLR357W)	1.00796	-1.25657	0.485678	0.041161	0.627628	-0.799719	0.504508	-0.137224	0.329296
RSF2(YJR127C)	1.0033	-0.503763	0.120587	0.240784	0.977708	0.496567	0.776779	0.170072	0.932518
RXT2(YBR095C)	0.988058	-1.1206	-0.278477	-0.104298	-0.937394	3.55119	-0.750068	-1.00914	0.819106
SPT6(YGR116W)	0.844787	1.04357	1.26179	1.62796	1.76802	2.77766	0.131667	0.679298	1.14753
PTA1(YAL043C)	1.82377	-4.67891	0.200405	-6.72919	2.17698	-0.743339	0.777689	-3.25549	3.08121
LYS1(YIR034C)	2.70856	8.63922	6.78307	5.96586	4.27654	1.94713	2.04394	9.66455	6.94232
SMD1(YGR074W)	1.13969	1.31502	-0.437366	0.02669	2.10511	-2.54135	-2.13151	0.211032	1.17445
SMC5(YOL034W)	1.24082	-0.229973	-0.049327	0.005142	-0.048283	0.580539	0.326482	0.145244	0.160753
RDS2(YPL133C)	2.02742	0.039032	-0.463063	-0.280141	-3.28848	-1.28995	-1.13885	0.572187	1.01171
NRG1(YDR043C)	2.55209	0.945914	-1.89268	-1.68456	2.28006	-2.86017	-2.78217	4.79428	2.60638
NNF2(YGR089W)	2.58299	-1.46419	-0.125607	-0.078016	-3.69462	-0.565964	1.14919	-0.66568	0.657421
RLF2(YPR018W)	2.00356	0.904385	-0.283491	-0.075517	-0.112008	1.60343	0.844315	0.763769	0.708014
RGR1(YLR071C)	2.02623	-1.54751	0.583737	0.501979	-0.06928	-1.68957	-0.255189	-0.155314	0.798606
